a,K,signed_error,absolute_analytic_bound,signed_error_over_bound
5,0,0.00197887535683974347,0.002,0.989437678419871737
5,1,-0.0000211246431602565267,0.0000217777777777777778,0.97000912470565684
5,2,6.5313461752125103e-7,6.9037037037037037e-7,0.946064091903099669
10,0,0.000249324760472809988,0.00025,0.997299041891239954
10,1,-6.75239527190011605e-7,6.80555555555555556e-7,0.992188693013894603
10,2,5.3160283655439506e-9,5.39351851851851852e-9,0.985632727002140197
50,0,1.99978229121870415e-6,2.0e-6,0.999891145609352074
50,1,-2.17708781295851085e-10,2.17777777777777778e-10,0.999683179419724371
50,2,6.89964819266925486e-14,6.9037037037037037e-14,0.999412560096941423
100,0,2.49993194983717032e-7,2.5e-7,0.999972779934868126
100,1,-6.80501628296841039e-12,6.80555555555555556e-12,0.99992075994637867
100,2,5.39272587145160595e-16,5.39351851851851852e-16,0.999853037110340673
