c,r,n,y,rho,approximation,exact_observable,error,scale,ratio
1/2,1,0,16,0,8,16,8,1,8
1/2,1,0,32,0,16,32,16,1,16
1/2,1,0,64,0,32,64,32,1,32
1/2,1,0,128,0,64,128,64,1,64
1/2,2,1,16,0,192,256,64,1,64
1/2,2,1,32,0,768,1024,256,1,256
1/2,2,1,64,0,3072,4096,1024,1,1024
1/2,2,1,128,0,12288,16384,4096,1,4096
1/2,3,1,16,-1,2048,4096,2048,8,256
1/2,3,1,32,-1,16384,32768,16384,16,1024
1/2,3,1,64,-1,131072,262144,131072,32,4096
1/2,3,1,128,-1,1048576,2097152,1048576,64,16384
1/2,4,2,16,-1,45056,65536,20480,8,2560
1/2,4,2,32,-1,720896,1048576,327680,16,20480
1/2,4,2,64,-1,11534336,16777216,5242880,32,163840
1/2,4,2,128,-1,184549376,268435456,83886080,64,1310720
